link,product_title,price,actual_price,ratings,color
https://www.daraz.com.np/products/asus-zephyrus-g15-ga503qe-ryzen-9-5900hs-rtx-3050ti-4gb-16gb-ram-1tb-ssd-156-fhd-144hz-i111810761.html,"ASUS Zephyrus G15 GA503QE / Ryzen 9 5900HS / RTX 3050ti 4GB / 16GB RAM / 1TB SSD / 15.6"" FHD 144hz",205000.0,205000.0,3.0,Black
https://www.daraz.com.np/products/lenovo-ideapad-slim-3-i5-13th-gen-8gb-ram-512ssd-156-screen-laptop-i128136700.html,Lenovo ideapad Slim 3 i5 13th Gen 8GB RAM 512ssd 15.6 Screen Laptop,70990.0,74000.0,9.0,Grey
https://www.daraz.com.np/products/dell-g15-5530-intel-core-i7-13650hx-rtx-4060-8gb-graphics-16gb-ddr5-ram-1tb-nvme-ssd-156-fhd-120hz-display-windows-11-home-i146182014.html,Dell G15 5530 Intel Core i7 13650HX RTX 4060 8GB Graphics – 16GB DDR5 RAM – 1TB NVMe SSD – 15.6″ FHD 120Hz Display – Windows 11 Home,169999.0,220000.0,1.0,Black
https://www.daraz.com.np/products/hp-envy-14-intel-core-i7-gen-1-14th-gen-14000h-processor-16gb-ram-512-ssd-gb-14-fhd-x360-touchscreen-backlit-keyboard-natural-silver-win-11home-i136724188.html,HP envy 14 [Intel core- i7 (Gen 1 ) 14th gen 14000H Processor / 16gb RAM / 512 SSD GB / 14′ FHD / X360 Touchscreen / Backlit Keyboard / Natural Silver / Win 11Home],124999.0,189999.0,1.0,Silver
https://www.daraz.com.np/products/dell-latitude-e5470-notebook-6thgen-intel-core-i5-6300u-24ghz-8gb-ddr4-sdram-500gb-hdd-windows-10-pro-64bit-keyboard-light-140-i145481860.html,Dell Latitude E5470 Notebook (6th Gen) – Intel Core i5-6300U / 2.4GHz / 8GB DDR4 SDRAM / 500GB HDD / Windows 10 Pro 64bit / Keyboard Light / 14.0”,39500.0,39500.0,,Black
https://www.daraz.com.np/products/acer-predator-helios-300-i7-11th-gen-rtx-3060-16gb-ram-1tb-ssd-156-qhd-165hz-display-i128486228.html,"Acer Predator Helios 300 / i7 11th Gen / RTX 3060 / 16GB RAM / 1TB SSD /15.6"" QHD 165Hz Display",149490.0,205000.0,1.0,Black
https://www.daraz.com.np/products/laptop-lenovo-ideapad-slim-3-i5-12450h16gb-ram512gb-ssd156-fhd-i132749334.html,"Laptop Lenovo IdeaPad Slim 3 i5-12450H/16GB RAM/512GB SSD/15.6"" FHD",66999.0,85000.0,1.0,Space Grey
https://www.daraz.com.np/products/dell-inspiron-15-3515-amd-ryzen-3-3250u-4gb-1tb-hdd-radeon-graphics-156-fhd-i116008834.html,"Dell Inspiron 15 3515 / AMD Ryzen 3 3250U / 4GB / 1TB HDD / Radeon Graphics / 15.6"" FHD",63900.0,63900.0,1.0,Silver
https://www.daraz.com.np/products/asus-vivobook-x1404za-intel-core-i3-12th-gen-1215u-8gb-ram-256gb-ssd-14-fhd-display-magic-numpad-windows-11-home-quiet-blue-i145303988.html,"Asus Vivobook X1404ZA | Intel Core i3 12th Gen 1215U | 8GB RAM | 256GB SSD | 14"" FHD Display | Magic Numpad | Windows 11 Home | Quiet Blue",49999.0,49999.0,,Blue
https://www.daraz.com.np/products/dell-vostro-3520-core-i5-12th-gen-16gb-ram512-gb-ssd156-fhdwin-11-i129919581.html,"Dell Vostro 3520 Core i5 12th Gen/ 16GB RAM/512 GB SSD/15.6"" FHD/Win 11",69490.0,90990.0,3.0,Black
https://www.daraz.com.np/products/dell-latitude-e5300-2-in-1-360-fold-i5-8th-gen-8-gb-ram-256-gb-ssd-133-screen-i129532301.html,"Dell Latitude E5300 2 in 1 360 Fold I5-8th Gen | 8 GB RAM | 256 GB SSD | 13.3"" Screen",49999.0,65000.0,,Black
https://www.daraz.com.np/products/mi-notebook-pro-intel-core-i5-11th-gen16gb512gb-ssdiris-xe-graphics-14-inch-laptop-i113998214.html,Mi Notebook Pro Intel Core i5 11th Gen16GB/512GB SSD/Iris Xe Graphics 14 Inch Laptop,99999.0,114999.0,7.0,Grey
https://www.daraz.com.np/products/dell-latitude-e7400-laptop-i5-8th-gen-256-gb-ssd-8-gb-ram-ultrabook-silver-i129075425.html,Dell Latitude E7400 Laptop I5-8th Gen 256 GB SSD 8 GB RAM Ultrabook Silver,47999.0,55000.0,3.0,Black
https://www.daraz.com.np/products/dell-latitude-e7490-laptop-i7-8th-gen-256-gb-ssd-8-gb-ram-ultrabook-i123539511.html,Dell Latitude E7490 Laptop I7-8th Gen 256 GB SSD 8 GB RAM Ultrabook,55000.0,55000.0,4.0,Black
https://www.daraz.com.np/products/lenovo-ideapad-slim-3i-2023-15-i3-13th-gen-8gb-ram-256gb-156-fhd-display-i128155035.html,"Lenovo IdeaPad Slim 3i 2023 15 i3 13Th Gen / 8GB RAM / 256GB / 15.6"" FHD display",51996.0,60000.0,2.0,Multicolor
https://www.daraz.com.np/products/hp-laptop-14-13th-gen-intel-core-i3-1315u-14-inch-fhd-8gb-ddr4-256-gb-ssd-intel-uhd-graphics-i140175146.html,HP Laptop 14 | 13th Gen Intel Core i3-1315U | 14-inch FHD | 8GB DDR4 | 256 GB SSD | Intel UHD Graphics |,55000.0,55000.0,,Silver
https://www.daraz.com.np/products/acer-swift-3-laptop-ryzen-7-5700u8gb512-gb14-fhdbacklit-keyboardwin-10-i110946950.html,"Acer Swift 3 Laptop /Ryzen 7 5700U/8GB/512 GB/14"" FHD/Backlit Keyboard/Win 10",105000.0,105000.0,3.0,Silver
